bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузоввнедорожник 5 дв.,Audi Q3 35 TFSI II (F3),Пробег3 150 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация26 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,3 199 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G) Рестайлинг,Пробег45 050 км,Цветчёрный,Двигатель3.0 л / 333 л.с. / Бензин,Комплектация44 опции,Налог49 950 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 199 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег37 052 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport 45 TFSI quattro S tronic,Налог20 543 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2019,3 330 330 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 35 TFSI II (F3),Пробег1 887 км,Цветсиний,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация45 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,3 649 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег171 129 км,Цветчёрный,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация86 опций,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2016,2 845 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег131 000 км,Цветсерый,Двигатель3.0 л / 333 л.с. / Бензин,Комплектация82 опции,Налог33 966 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,3 285 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L) Рестайлинг,Пробег102 000 км,Цветбелый,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация66 опций,Налог18 375 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 195 000 ₽Отличная ценаот 2 095 000 ₽ со скидками
Кузовхэтчбек 5 дв.,Audi A3 III (8V),Пробег136 209 км,Цветбелый,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация30 опций,Налог4 270 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 099 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 II (C5) Рестайлинг,Пробег422 355 км,Цветсиний,Двигатель1.8 л / 150 л.с. / Бензин,Комплектация15 опций,Налог5 250 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2002,275 000 ₽от 259 000 ₽ со скидками
Кузовседан,Audi A4 IV (B8),Пробег189 969 км,Цветкрасный,Двигатель1.8 л / 160 л.с. / Бензин,Комплектация23 опции,Налог7 840 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2008,535 000 ₽от 503 000 ₽ со скидками
Кузовседан,Audi A8 Long III (D4),Пробег171 666 км,Цветчёрный,Двигатель3.0 л / 290 л.с. / Бензин,Комплектация28 опций,Налог43 500 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 390 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег196 313 км,Цветчёрный,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация29 опций,Налог7 600 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 630 000 ₽Смотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег100 000 км,Цветсерый,Двигатель1.9 л / 113 л.с. / Бензин,,Налог1 062 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1988,95 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 III (C6),Пробег254 000 км,Цветбежевый,Двигатель2.8 л / 210 л.с. / Бензин,Комплектация50 опций,Налог13 650 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2008,650 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег80 000 км,Цветсиний,Двигатель2.0 л / 180 л.с. / Бензин,КомплектацияDesign,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 615 000 ₽Отличная ценаот 1 515 000 ₽ со скидками
Кузовседан,Audi A8 Long III (D4),Пробег135 542 км,Цветсерый,Двигатель3.0 л / 250 л.с. / Дизель,Комплектация43 опции,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 799 000 ₽Смотреть статистику цен
Кузовседан,Audi A8 Long III (D4),Пробег135 542 км,Цветсерый,Двигатель3.0 л / 250 л.с. / Дизель,Комплектация43 опции,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,2 799 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 II (C5),Пробег327 777 км,Цветчёрный,Двигатель2.8 л / 193 л.с. / Бензин,,Налог8 685 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2000,399 999 ₽Смотреть статистику цен
Кузовкупе,Audi A5 I (8T) Рестайлинг,Пробег77 077 км,Цветпурпурный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация28 опций,Налог14 625 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 869 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 S-tronic I (4G),Пробег52 200 км,Цветчёрный,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация42 опции,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,2 749 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег94 000 км,Цветбелый,Двигатель1.8 л / 120 л.с. / Бензин,,Налог4 200 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 300 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 45 TDI II (4M) Рестайлинг,Пробег67 000 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация54 опции,Налог20 543 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,6 750 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег82 000 км,Цветчёрный,Двигатель3.0 л / 249 л.с. / Дизель,,Налог20 543 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,6 350 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 55 TFSI II (4K),Пробег87 934 км,Цветбелый,Двигатель3.0 л / 340 л.с. / Бензин,Комплектация54 опции,Налог51 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 300 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег101 620 км,Цветоранжевый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация34 опции,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 405 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 III (8V),Пробег123 481 км,Цветчёрный,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация24 опции,Налог4 270 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 067 000 ₽от 1 040 325 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег144 000 км,Цветсерый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация49 опций,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,3 540 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег146 228 км,Цветкоричневый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация28 опций,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 415 000 ₽Смотреть статистику цен
Кузовкупе,Audi A5 I (8T) Рестайлинг,Пробег54 500 км,Цветкрасный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация43 опции,Налог11 700 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 690 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег233 000 км,Цветчёрный,Двигатель1.8 л / 190 л.с. / Бензин,КомплектацияComfort,Налог4 275 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 650 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег40 338 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация39 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2019,2 899 879 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег55 260 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация30 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 699 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег155 302 км,Цветчёрный,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация19 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 797 000 ₽Смотреть статистику цен
Кузовуниверсал 5 дв.,Audi A6 allroad I (C5),Пробег218 000 км,Цветчёрный,Двигатель4.2 л / 300 л.с. / Бензин,,Налог30 600 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2004,450 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 III (8V),Пробег119 405 км,Цветсиний,Двигатель1.2 л / 110 л.с. / Бензин,Комплектация29 опций,Налог2 750 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,967 000 ₽Хорошая ценаот 872 000 ₽ со скидками
Кузовседан,Audi A3 III (8V) Рестайлинг,Пробег33 626 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация42 опции,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,1 967 000 ₽от 1 832 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег109 618 км,Цветчёрный,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация39 опций,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 699 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег91 100 км,Цветсерый,Двигатель3.0 л / 300 л.с. / Бензин,Комплектация40 опций,Налог45 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2011,2 049 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег41 000 км,Цветголубой,Двигатель1.4 л / 150 л.с. / Бензин,КомплектацияComfort,Налог4 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 860 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег193 750 км,Цветбелый,Двигатель1.8 л / 170 л.с. / Бензин,КомплектацияComfort,Налог7 650 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 050 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8),Пробег160 000 км,Цветсиний,Двигатель1.8 л / 160 л.с. / Бензин,КомплектацияСтандарт,Налог7 200 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2008,700 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V),Пробег42 000 км,Цветбелый,Двигатель1.4 л / 125 л.с. / Бензин,Комплектация12 опций,Налог3 125 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 300 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег119 030 км,Цветсерый,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация56 опций,Налог9 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 480 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 III (C6),Пробег300 000 км,Цветбежевый,"Двигатель3.0 л / 218 л.с. / Бензин, газобаллонное оборудование",Комплектация30 опций,Налог16 350 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2005,580 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег162 097 км,Цветчёрный,Двигатель1.4 л / 125 л.с. / Бензин,КомплектацияAmbition,Налог3 125 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2008,670 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег128 016 км,Цветкоричневый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация47 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 498 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi 80 IV (B3),Пробег250 000 км,Цветсерый,Двигатель1.8 л / 90 л.с. / Бензин,Комплектация11 опций,Налог1 080 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1986,100 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег143 855 км,Цветсерый,Двигатель3.0 л / 258 л.с. / Дизель,Комплектация82 опции,Налог38 700 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 199 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег80 555 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация48 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 986 000 ₽Отличная ценаСмотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег86 000 км,Цветчёрный,Двигатель3.0 л / 310 л.с. / Бензин,Комплектация28 опций,Налог46 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 999 999 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег78 777 км,Цветкрасный,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация23 опции,Налог7 650 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 599 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег115 000 км,Цветчёрный,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация8 опций,Налог9 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 265 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег84 228 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация13 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 149 000 ₽Хорошая ценаСмотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A1 I (8X),Пробег80 992 км,Цветоранжевый,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация24 опции,Налог3 050 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2013,845 000 ₽Отличная ценаСмотреть статистику цен
Кузовлифтбек,Audi A5 I (8T) Рестайлинг,Пробег142 743 км,Цветсиний,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация43 опции,Налог16 875 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 457 000 ₽Отличная ценаСмотреть статистику цен
Кузовлифтбек,Audi A5 I (8T) Рестайлинг,Пробег144 792 км,Цветчёрный,Двигатель1.8 л / 170 л.с. / Бензин,Комплектация20 опций,Налог7 650 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 660 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег97 152 км,Цветчёрный,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация25 опций,Налог7 650 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 500 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег83 849 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация18 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 999 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 Sportback 45 TFSI I (FY),Пробег1 500 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация91 опция,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,5 538 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег140 488 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация29 опций,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 799 000 ₽Отличная ценаСмотреть статистику цен
Кузовлифтбек,Audi A7 I (4G) Рестайлинг,Пробег71 200 км,Цветчёрный,Двигатель3.0 л / 245 л.с. / Дизель,Комплектация44 опции,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,3 399 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег91 515 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 118 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 8tiptronic I (8R),Пробег59 666 км,Цветкрасный,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация25 опций,Налог15 825 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2011,1 667 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег231 944 км,Цветсеребристый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация31 опция,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2017,3 465 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A5 I (8T) Рестайлинг,Пробег114 185 км,Цветсиний,Двигатель2.0 л / 225 л.с. / Бензин,,Налог16 875 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 317 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег164 473 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация58 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 479 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U) Рестайлинг,Пробег151 816 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация44 опции,Налог2 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,1 397 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 45 TFSI II (FY) Рестайлинг,Пробег3 296 км,Цветзелёный,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация57 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,5 147 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег81 302 км,Цветбелый,Двигатель2.0 л / 177 л.с. / Дизель,Комплектация41 опция,Налог7 965 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 967 000 ₽Хорошая ценаСмотреть статистику цен
Кузовлифтбек,Audi A5 II (F5),Пробег102 251 км,Цветсерый,Двигатель2.0 л / 190 л.с. / Дизель,Комплектация41 опция,Налог8 550 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 717 000 ₽Отличная ценаСмотреть статистику цен
Кузовлифтбек,Audi A7 I (4G) Рестайлинг,Пробег146 661 км,Цветсерый,Двигатель3.0 л / 245 л.с. / Дизель,,Налог18 375 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 627 000 ₽Хорошая ценаСмотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег173 000 км,Цветкрасный,Двигатель1.2 л / 105 л.с. / Бензин,Комплектация26 опций,Налог987 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,728 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег41 170 км,Цветбелый,Двигатель1.4 л / 150 л.с. / Бензин,,Налог2 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 097 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег106 767 км,Цветсерый,Двигатель3.0 л / 249 л.с. / Дизель,,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 687 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег80 130 км,Цветбелый,Двигатель2.0 л / 177 л.с. / Дизель,,Налог7 965 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСДубликат,год выпуска2014,2 197 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 I (B5) Рестайлинг,Пробег210 000 км,Цветзелёный,Двигатель1.8 л / 170 л.с. / Бензин,,Налог7 650 ₽ / год,Коробкамеханическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2001,287 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 II (B6),Пробег235 557 км,Цветсерый,Двигатель1.8 л / 150 л.с. / Бензин,,Налог2 250 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2002,327 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег105 000 км,Цветчёрный,Двигатель2.0 л / 252 л.с. / Бензин,,Налог37 800 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,3 450 000 ₽Хорошая ценаСмотреть статистику цен
